# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\cardi\Documents\junior_21-22\ECE385\Lab_62_provided_files\lab61.csv
# Generated on: Fri Mar 25 12:56:57 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DRAM_ADDR[12],Output,PIN_R20,5,B5_N0,PIN_R20,2.5 V,,,,,
DRAM_ADDR[11],Output,PIN_P20,5,B5_N0,PIN_P20,2.5 V,,,,,
DRAM_ADDR[10],Output,PIN_T20,5,B5_N0,PIN_T20,2.5 V,,,,,
DRAM_ADDR[9],Output,PIN_P19,5,B5_N0,PIN_P19,2.5 V,,,,,
DRAM_ADDR[8],Output,PIN_P18,5,B5_N0,PIN_P18,2.5 V,,,,,
DRAM_ADDR[7],Output,PIN_R18,5,B5_N0,PIN_R18,2.5 V,,,,,
DRAM_ADDR[6],Output,PIN_T19,5,B5_N0,PIN_T19,2.5 V,,,,,
DRAM_ADDR[5],Output,PIN_T18,5,B5_N0,PIN_T18,2.5 V,,,,,
DRAM_ADDR[4],Output,PIN_U19,5,B5_N0,PIN_U19,2.5 V,,,,,
DRAM_ADDR[3],Output,PIN_U18,5,B5_N0,PIN_U18,2.5 V,,,,,
DRAM_ADDR[2],Output,PIN_V18,5,B5_N0,PIN_V18,2.5 V,,,,,
DRAM_ADDR[1],Output,PIN_W19,5,B5_N0,PIN_W19,2.5 V,,,,,
DRAM_ADDR[0],Output,PIN_U17,5,B5_N0,PIN_U17,2.5 V,,,,,
DRAM_BA[1],Output,PIN_T22,5,B5_N0,PIN_T22,2.5 V,,,,,
DRAM_BA[0],Output,PIN_T21,5,B5_N0,PIN_T21,2.5 V,,,,,
DRAM_CAS_N,Output,PIN_U21,5,B5_N0,PIN_U21,2.5 V,,,,,
DRAM_CKE,Output,PIN_N22,5,B5_N0,PIN_N22,2.5 V,,,,,
DRAM_CLK,Output,PIN_L14,6,B6_N0,PIN_L14,2.5 V,,,,,
